author,rating,sentiment_label,date,comment
Witchy,5,positif,Modifié il y a 2 ans,"Actuellement en 3ème année dans la filière jeux vidéo, je suis très satisfaite de cette école !
Les intervenants sont tous qualifiés et à l'écoute ! Ils retranscrivent parfaitement leurs passions pour leurs métiers ! Ils nous donnent envie de s'investir dans nos études et ça paye !
Avec les années, je vois mes compétences grandir et ça se voit sur mon portefolio ! L'école met également les élèves en avant en partageant les travaux les plus réussi de tous niveaux confondus en les postant sur le compte Artstation du campus. Mais également en les mettant avant lors des portes ouvertes ou au quotidien en les accrochant sur des tableaux à l'intérieur du campus !
L'équipe pédagogique est également très à l'écoute de nos envies et demandes ! Chaque année, la filière évolue ! Ils prennent en compte nos remarques et se donnent du mal pour que nous puissions apprendre dans les meilleures conditions !
Toute l'équipe pédagogique est accueillante et bienveillante !
L'école propose également des alternances en master pour la filière 3D et des ateliers de recherche , préparation et job meeting sont organisées afin de nous accompagner au mieux !
Bien sûr,  ne comptez pas trouver une alternance les mains dans les poches ! J'ai vu bon nombre d'élèves se plaindre de l'école qui ne les accompagne pas assez mais en réalité la plupart de ces élèves sont des personnes qui ont un grand taux d'absentéisme, qui ne rendent pas leurs travaux à temps et qui ne travaillent pas chez eux...
C'est consternant de voir la mauvaise foi de certains qui non pas su comprendre que ce n'est pas par ce que c'est une école payante que tout leurs sera donné dans le creux de la main sans qu'il n'ait à bouger le petit doigt...
Mais si vous vous donnez la peine d'essayer,  vous réussissez !
Tous ça pour dire qu'Ynov est véritablement une bonne école, tout vous ai donné pour réussir. Il suffit juste de mettre un peu du sien, d'être passionné parce que l'on fait et il est facile de réussir !"
Louise JULIEN,5,positif,il y a un an,"Super entente avec la promo !!
Les ymmersions se sont super bien passées, très enrichissantes, et nous a permis découvrir ce qui nous attend cette année. Les intervenants ont été présents pour nous."
Vortek CoC,1,negatif,il y a 2 ans,"À FUIR

Un service pédagogique à la rue, des nouveaux élèves arrivant avec littéralement AUCUNES COMPÉTENCES. Mais Ynov adore l’argent alors bien sûr ils sont acceptés, tant pis si on revoit les bases que l’on a appris 2 ans plutôt.

Les prix présentés dans le programme avoisinent les 7k € et quand on passe en alternance, on nous demande de ne pas communiquer les prix puisque ceux-ci passe à 12k € pour récupérer l’aide de l’État accordée aux entreprises.

Bien entendu j’énumère qu’un dixième des problèmes de cette école.

Si vous voulez réussir professionnellement allez à e-artsup juste à côté. Vous ne vous en porterez que mieux."
Malou Lapierre,5,positif,il y a 2 mois,Super école de Bon copain et une bonne ambiance de classe
Mathis Lecherf,5,positif,il y a 4 ans,"Actuellement en fin de première année de Bachelor Informatique, l'école a toujours été très ouverte à la communication, réactive et compréhensive.
Au niveau de la formation en elle même, on travaille énormément par projets, on fait concrètement pour apprendre, et c'est ce qu'ils annonçaient.
Satisfait de cette première année, j'en ressors avec une bonne expérience , et des connaissances."
Les Terrasses du Parc,5,positif,il y a un an,"Les équipes des Terrasses du Parc et du Pavillon de la Soie sont ravies de collaborer avec Ynov dans le cadre de leur remises de diplômes au Pavillon de la Soie ! Equipe toujours très agréable et professionnelle, aux petits soins pour leurs élèves. Nous avons hâte de vous retrouver l'année prochaine !"
Bouletteprod,5,positif,il y a 3 ans,"En toute objectivité, je n'ai rien à redire sur le fonctionnement et la qualité de l'école et en particulier de ma filière audiovisuel.
Toute les équipes (administrative, pédagogique et j'en passe) sont très impliqué dans la vie des étudiant. L'étroite communication que nous avons avec eux renforce la confiance et l'ambiance au seins du campus"
Mil,5,positif,il y a une semaine,"Un super établissement, et un bon accompagnement"
Matteo Brosolo,5,positif,il y a un an,"Actuellement en étude au sein de Lyon Ynov Campus, j'apprecie la formation et la recommande fortement. Des professionnels en tant qu'intervenant, très enrichissant et une montée en compétence rapide pour les personnes motivée"
Camille Mathon,1,negatif,il y a 6 ans,"École à fuir !

Si vous voulez perdre 750 euros de pseudo frais d’inscription alors foncé !!

Des offres complètement à côté de votre niveau de formation vous seront proposé , un soit disant « carnet d’adresse » pour vous aider dont vous ne verrez jamais la couleur mais aussi des accompagnant pour la plupart qui feront toujours en sorte que la faute soit renvoyé sur vous si vous ne trouvez rien !

En outre un établissement tout simplement médiocre et je pèse mes mots

Encore une étoile est vraiment de trop mais moins n’était pas accepter vraisemblablement

Alors si vous voulez perdre du temps et de l’argent je vous conseil cet établissement avec plaisir !!"
carlita pinto ribeiro,1,negatif,il y a un an,"J’ai été étudiante au sein de cette établissement pour la filière architecture d’intérieur, très déçue je n’ai pas finie l’année. Il n’y a aucune organisation, il m’a fut des mois pour pouvoir parler à quelqu’un au seine de l’école, je vous déconseille cette filière dans cet établissement."
Riyad Terfai,4,positif,il y a un an,"Etant étudiant a Ynov actuellement j'apprécie l'effort fait par l'établissement pour nous faire sentir bon dans ce que l'ont faisons, les intervenant sont investis dans leur travails et comprenne que pour certains d'entre nous ce que nous faisons est nouveau, les évènement en dehors des cours organisé sont aussi bons, c'est une école dans la globalité seuls soucis est que dans certaines filières il y a des problème niveau emploi du temps créant des trous dans le rythme de bases des étudiant
Je recommande cette établissement si le choix de vos futurs étude ce trouve dans les nombreux choix de filière"
Jason DUBLINESS,5,positif,il y a 7 ans,"Très bonne école, avec de super projets transversaux avec toutes les formations qui sont présentes.
Un simple exemple, l'obtention de mon Mastère Informatique Expert Cloud, Sécurité et Réseau l'année dernière m'a permis d'avoir mon CDI avant la fin des cours, et un salaire de 42K€ dès le début !!! :)
Comment ne pas être satisfait avec tout ça ;)"
Kaplan Ceyda,1,negatif,il y a 2 ans,"Je me suis inscrite pour la journée portes ouvertes en renseignant mes coordonnées. J'ai pas pu y aller pour x raisons, ils m'ont harcelés par message, appel, mail.
Ça ne donne pas envie d'y aller."
Baptiste LEGAT,5,positif,il y a 2 ans,"J’ai intégré le bachelor 3 en informatique à Ynov car j’étais vraiment intéressé par l’alternance, leur programme et surtout les Ydays. Ynov m’a accompagné dans ma recherche d’alternance. Tant sur la formation que sur le suivi de leurs étudiants, Ynov sait nous écouter et mettre en place des actions. Je recommande vivement cette école !
Merci encore au service Relation Ecole-Entreprise :)
PS : si vous souhaitez vous faire de vrai pote ! C’est ici que ça se passe !!!!"
Guillaume,4,positif,il y a 6 ans,"J'ai effectué mon Master en Digital Business à YNOV et en garde de très bons souvenirs, que ce soit sur l'organisation des cours, les intervenants ainsi que la vie du campus. Le staff de l'école, très agréable, prend en compte les commentaires des étudiants et axes d'amélioration. Un grand + pour les projets Y-Days (groupes de projets professionnels suivant différentes thématiques), enrichissant et bonne ambiance !!"
Lo.wgRaphIcS,1,negatif,il y a 3 ans,"École vraiment nulle. Ne se prive pas de voler ses élèves et n'a aucune compétence administrative. Tous ceux qui cherche une école, spoiler :  elles sont toutes mieux que celle là."
Andréa Bouloumié,5,positif,il y a 3 ans,"Étant dans la filière Market Com je suis très contente de ce que l’école nous propose, il y a une très bonne ambiance au sein du campus que se soit entre les élèves ou avec l’administration. La vie étudiante est présente avec de nombreuses activités proposées."
thomas VESSILLER,5,positif,il y a 10 mois,"Tres professionnels et humain, premiere fois pour moi d'etre autant accompagné avant meme l'entrée dans une école."
Quentin Leveque,5,positif,il y a 2 mois,"Merveilleux enseignement, Merveilleux bâtiment, que demander de mieux ."
Gaelle Mayet,1,negatif,il y a 8 ans,"J'ai passé deux ans dans cette école dont la MANAA avec des tables qui ne dépassaient pas 40 cm de large et aucuns matériels a disposition. Et une année en bachelor design d'espace qu'ils ont subitement fermé me prévenant fin juillet en plein milieu du cursus du bachelor, ce qui fut difficile pour moi a été de retrouver une école qui me prenait en deuxième année de bachelor. Forcément, aucunes écoles ne prend en plein milieu de formation.
Bref je ne recommande pas cette école si vous souhaiter y faire tout votre cursus."
Alizée Girardeau,5,positif,il y a 9 mois,Merci à Jennifer pour le coaching 'recherche d'alternance' ! Une après-midi plus efficace que deux semaines de recherches personnelles !
Mogo,5,positif,il y a 5 ans,"Très bien, j'ai fait mon Master là bas, c'est bien la seule école qui aide VRAIMENT à trouver des alternances en organisant des vrais jobs meetings et en invitant plein d'entreprises, elle a beaucoup de contact"
Mohamed Amarouch,5,positif,il y a 9 mois,J’ai passé une super après midi avec madame Chabrier qui est très pédagogue et bienveillante.
Ethan COMTET,5,positif,il y a 6 mois,"Lieu vraiment sympathique, ils m'ont beaucoup aidé pour mon alternance. Merci"
NEO x Chris,1,negatif,Modifié il y a 8 ans,"Tout d'abord je tiens à dire que les 2 commentaires positifs sont des commentaires qui servent juste à tenter de sauver la réputation de l'école. Cette école est simplement une catastrophe. J'ai passé 2 ans aussi cet établissement, par où commencer....
Tout d'abord sur l'établissement en lui même: les salles de cours sont trop trop petites, pas de rideaux au 3ème étage, ils ont collés les stickers sur les fenêtres pour économiser sur les stores !, pas assez de tables, pas assez de matériels, la cafétéria est trop petite, souvent problème de matériel, le prof doit perdre 10 minutes de son cours à allez chercher: projeteur/ cable HDMI / feutre / chiffon etc et met 20 minutes pour le brancher .... Concernant l'équipe pédagogique, elle est très désorganisée, aucun cohérence entre leur dires, on attends 2 mois pour recevoir qqqch qu'on a demander, 1 mois pour éditer une convention à notre nom ... enfin bref une cata.

Pour ce qui est de l'école en elle-même, de nombreux diplôme ont été supprimés, notamment les BTS, le partenariat avec l'ESSCA a aussi été rompu ce qui a laissé les étudiants sur le carreau, sans les prévenir de la rupture du contrat et ils continuaient de recruter des étudiants sous se diplôme WTF ...

Un conseil FUYEZ, vous perdrez votre temps, vous ne vous y senterez pas bien ... Si vous voulez une vrai école d'ingénieur allez à centrale, ECAM ou INSA, si vous rechercher une école de commerce privilégier à tout prix des diplôme reconnu et certifié par l'ETAT !! comme l'EM LYON, KEDGE ou INSEEC et puis si vous voulez vous tourner vers l'art allez a bellecour ou condé !

Bonne chance

FUYER YNOV"
Morgane Belarbi,5,positif,il y a 5 ans,"J'ai fait mon Master à Ynov, la plus value d'Ynov clairement c'est les Ydays où on travaille sur des gros projets conséquents annuels. Les locaux sont vraiment cools et l'équipement aussi, l'ambiance de l'école est irréprochable, les étudiants s'entendent très bien et crée une véritable cohésion. Par contre je pense que je recommande surtout en Ynov en BACHELOR, car les cours de Bachelors sont plus soutenus et plus difficiles. Les Masters Marketings et Direction Artistiques sont vraiment pas mal non plus !"
Justine Sousa,5,positif,il y a 7 ans,"Le campus à Lyon est récent, on s’y sent très bien. Les intervenants et l’ecole nous professionnalisent. Je vous conseille de venir vous renseigner sur les salons et aux portes ouvertes on se fera un plaisir de vous parler des opportunités de l’ecole!"
Maëlle JOUBERT,5,positif,il y a 2 ans,"En tant qu’étudiante en architecture d’intérieur à ynov Lyon, je conseille cette formation menée par des personnes à l’écoute des étudiants. Et des cours à la hauteur de mes attentes."
